id,time,latitude,longitude,depth,mag,magType,place,status,tsunami,sig,net,nivel_risco
us6000t04s,2026-05-25T21:52:20,-22.385,-68.611,109.0,6.9,mww,"33 km ENE of Calama, Chile",reviewed,0,782,us,alto
us6000sxwq,2026-05-15T11:22:01,38.9127,142.2498,43.6,6.7,mww,"49 km ESE of Ōfunato, Japan",reviewed,0,752,us,alto
us6000sz1d,2026-05-20T17:43:01,-55.984,-122.2988,10.0,6.6,mww,southern East Pacific Rise,reviewed,0,670,us,alto
us6000sxqf,2026-05-14T17:53:13,-6.1497,130.3809,137.0,6.2,mww,"268 km WSW of Tual, Indonesia",reviewed,0,596,us,alto
aka2026jcufoy,2026-05-09T04:42:21,50.981,179.214,16.3,6.1,ml,"Rat Islands, Aleutian Islands, Alaska",reviewed,0,572,ak,alto
us6000sy84,2026-05-16T14:50:05,17.4295,-61.2938,51.2,6.0,mww,"60 km ESE of Codrington, Antigua and Barbuda",reviewed,0,615,us,alto
us7000snvr,2026-05-27T14:51:04,-50.5174,139.3678,10.0,6.0,mww,western Indian-Antarctic Ridge,reviewed,0,554,us,alto
us7000snvt,2026-05-27T15:01:11,-50.5213,139.3037,10.0,6.0,mww,western Indian-Antarctic Ridge,reviewed,0,554,us,alto
us7000spqc,2026-05-31T21:34:18,-32.8047,-71.8593,25.0,6.0,mww,"33 km NW of Valparaíso, Chile",reviewed,0,645,us,alto
us7000si2z,2026-05-04T06:09:47,11.7423,125.3411,43.0,6.0,mww,"8 km WSW of Nena, Philippines",reviewed,0,585,us,alto
hv74966427,2026-05-23T07:46:01,19.3403,-155.8425,22.6,6.0,ml,"13 km S of Honaunau-Napoopoo, Hawaii",reviewed,0,1380,hv,alto
us6000syw4,2026-05-20T02:46:24,27.392,128.7336,42.0,5.9,mww,"8 km E of Wadomari, Japan",reviewed,0,542,us,alto
us6000szdy,2026-05-22T01:05:08,1.0433,126.067,35.0,5.9,mww,"113 km ESE of Bitung, Indonesia",reviewed,0,536,us,alto
us6000sw5q,2026-05-08T07:17:42,-43.391,91.5605,10.0,5.9,mww,southeast Indian Ridge,reviewed,0,536,us,alto
us7000sicu,2026-05-05T06:44:49,-10.0638,119.3249,22.0,5.8,mww,"70 km S of Tambolaka, Indonesia",reviewed,0,518,us,alto
us7000sidq,2026-05-05T08:00:43,-36.6471,177.2131,10.0,5.8,mww,"126 km ENE of Pauanui, New Zealand",reviewed,0,533,us,alto
us6000svnr,2026-05-06T14:15:32,52.3404,176.5321,10.0,5.8,mww,"233 km ESE of Attu Station, Alaska",reviewed,0,518,us,alto
us6000swf4,2026-05-09T04:42:23,51.053,179.2934,38.8,5.8,mww,"297 km WSW of Adak, Alaska",reviewed,0,518,us,alto
us6000syt5,2026-05-19T17:57:54,-14.1767,-75.5147,58.8,5.8,mww,"19 km E of Pampa de Tate, Peru",reviewed,0,532,us,alto
us6000synm,2026-05-19T02:29:24,-18.1511,168.0931,27.0,5.7,mww,"51 km SSW of Port-Vila, Vanuatu",reviewed,0,504,us,alto
us6000sz3x,2026-05-20T23:01:01,-56.1584,-28.1034,137.0,5.7,mww,South Sandwich Islands region,reviewed,0,500,us,alto
us6000szgb,2026-05-22T10:08:19,-2.857,147.713,10.0,5.7,mww,"103 km SSE of Lorengau, Papua New Guinea",reviewed,0,500,us,alto
us6000szmu,2026-05-23T05:41:34,-47.488,99.9967,10.0,5.7,mww,southeast Indian Ridge,reviewed,0,500,us,alto
us7000shs2,2026-05-02T09:28:41,34.1145,135.5533,64.0,5.7,mww,"12 km SSW of Kōya, Japan",reviewed,0,515,us,alto
us6000sx9x,2026-05-12T21:19:36,-23.2993,-176.8758,154.0,5.7,mww,"286 km SW of Houma, Tonga",reviewed,0,500,us,alto
us6000sy8k,2026-05-16T15:17:58,-8.5885,160.8774,37.8,5.7,mww,"27 km NE of Auki, Solomon Islands",reviewed,0,502,us,alto
us6000sx5k,2026-05-12T15:39:31,-10.649,164.9925,68.2,5.6,mww,"88 km W of Lata, Solomon Islands",reviewed,0,482,us,alto
us6000szgm,2026-05-22T12:16:14,52.5074,-171.7064,14.9,5.6,mww,"173 km E of Atka, Alaska",reviewed,0,482,us,alto
us6000t04f,2026-05-25T20:39:20,1.1115,126.0911,31.1,5.6,mww,"113 km ESE of Bitung, Indonesia",reviewed,0,482,us,alto
us7000spkc,2026-05-30T21:27:25,11.9084,-59.1029,35.0,5.6,mww,"137 km SSE of Oistins, Barbados",reviewed,0,492,us,alto
us6000sw6y,2026-05-08T12:22:31,-2.9127,147.7321,10.0,5.6,mww,"109 km SSE of Lorengau, Papua New Guinea",reviewed,0,482,us,alto
us7000si51,2026-05-04T15:19:24,16.4698,-98.0183,18.0,5.5,mww,"0 km SW of San Juan Jicayán, Mexico",reviewed,0,484,us,alto
us6000svp9,2026-05-06T15:35:49,7.5271,126.7728,29.0,5.5,mww,"22 km ENE of Baculin, Philippines",reviewed,0,471,us,alto
us6000szxz,2026-05-24T16:48:41,9.2997,126.2839,34.0,5.5,mww,"10 km ENE of Cortes, Philippines",reviewed,0,471,us,alto
us6000swk0,2026-05-10T02:34:07,-37.7571,-73.231,35.0,5.5,mww,"15 km ENE of Cañete, Chile",reviewed,0,490,us,alto
us6000sy90,2026-05-16T15:58:04,-17.9035,169.0942,10.0,5.5,mww,"84 km ESE of Port-Vila, Vanuatu",reviewed,0,466,us,alto
us6000sxu9,2026-05-15T01:13:58,-2.9915,147.7607,10.0,5.4,mww,"119 km SSE of Lorengau, Papua New Guinea",reviewed,0,449,us,alto
us6000syc2,2026-05-17T08:04:17,50.7292,157.3884,44.0,5.4,mww,"89 km E of Severo-Kuril’sk, Russia",reviewed,0,449,us,alto
us6000syg1,2026-05-18T02:10:41,-43.4009,-82.4593,10.0,5.4,mww,West Chile Rise,reviewed,0,449,us,alto
us6000syx6,2026-05-20T06:00:16,38.2157,38.6061,10.0,5.4,mww,"19 km N of Sincik, Turkey",reviewed,0,450,us,alto
us6000svw1,2026-05-07T08:53:27,-27.348,-176.655,35.0,5.4,mww,Kermadec Islands region,reviewed,0,449,us,alto
us7000snpe,2026-05-26T19:12:31,-17.6654,-172.621,10.0,5.4,mb,"180 km NE of Neiafu, Tonga",reviewed,0,449,us,alto
us7000snxg,2026-05-27T19:09:53,-18.0405,-176.563,10.0,5.3,mww,"280 km WNW of Neiafu, Tonga",reviewed,0,432,us,alto
us7000sp4a,2026-05-28T16:18:09,19.6577,-109.4358,10.0,5.3,mww,Revilla Gigedo Islands region,reviewed,0,432,us,alto
us7000sp82,2026-05-29T06:55:52,42.2295,88.3187,10.0,5.3,mb,"106 km SW of Turpan, China",reviewed,0,432,us,alto
us6000sykw,2026-05-18T18:50:00,-54.2575,-1.2453,10.0,5.3,mb,Bouvet Island region,reviewed,0,432,us,alto
us6000szk5,2026-05-22T19:30:38,-10.7482,164.3652,10.0,5.3,mww,"156 km W of Lata, Solomon Islands",reviewed,0,432,us,alto
us6000szq3,2026-05-23T12:40:28,-4.5338,102.7044,68.5,5.3,mb,"82 km SW of Pagar Alam, Indonesia",reviewed,0,432,us,alto
us6000szx2,2026-05-23T19:19:06,-35.7227,-104.9819,10.0,5.3,mww,southeast of Easter Island,reviewed,0,432,us,alto
us6000szt5,2026-05-23T21:49:16,51.7344,-170.3491,7.2,5.3,mww,"168 km SW of Nikolski, Alaska",reviewed,0,432,us,alto
us6000t05n,2026-05-26T02:08:03,-28.3135,-176.5972,10.0,5.3,mb,Kermadec Islands region,reviewed,0,432,us,alto
us6000swhy,2026-05-09T20:39:49,-26.868,-176.6645,10.0,5.3,mb,south of the Fiji Islands,reviewed,0,432,us,alto
us6000swr6,2026-05-10T16:34:33,-5.285,145.648,93.3,5.3,mww,"16 km WSW of Madang, Papua New Guinea",reviewed,0,434,us,moderado
us6000swr8,2026-05-10T16:41:43,-16.8739,-173.3414,10.0,5.3,mb,"112 km SSE of Hihifo, Tonga",reviewed,0,432,us,alto
us6000sxk1,2026-05-13T22:01:06,19.0959,121.2247,35.0,5.3,mww,"54 km N of Namuac, Philippines",reviewed,0,433,us,alto
us6000sxn9,2026-05-14T12:48:22,4.0895,-76.7348,117.1,5.3,mww,"32 km WNW of Darien, Colombia",reviewed,0,440,us,moderado
us6000sy7l,2026-05-16T12:59:30,-17.8693,169.1748,10.0,5.3,mww,"92 km E of Port-Vila, Vanuatu",reviewed,0,432,us,alto
us6000swk8,2026-05-10T02:42:24,-7.0199,131.9032,10.0,5.2,mb,"180 km SSW of Tual, Indonesia",reviewed,0,416,us,alto
us6000swvm,2026-05-11T09:48:51,-9.2967,159.1915,10.0,5.2,mww,"72 km NW of Malango, Solomon Islands",reviewed,0,417,us,alto
us6000sxnw,2026-05-14T15:34:04,25.1294,141.4667,139.5,5.2,mww,"Volcano Islands, Japan region",reviewed,0,416,us,moderado
us6000sy7u,2026-05-16T14:07:54,-17.7886,169.1976,10.0,5.2,mww,"93 km E of Port-Vila, Vanuatu",reviewed,0,416,us,alto
us6000syg0,2026-05-18T02:05:24,16.4431,96.3164,10.0,5.2,mww,"36 km SSE of Syriam, Burma (Myanmar)",reviewed,0,446,us,alto
us6000syh2,2026-05-18T07:34:30,-28.5299,74.2599,10.0,5.2,mb,Mid-Indian Ridge,reviewed,0,416,us,alto
us6000syy1,2026-05-20T10:28:49,-8.2248,119.2187,10.0,5.2,mb,"45 km NE of Sape, Indonesia",reviewed,0,416,us,alto
us7000snz9,2026-05-28T00:25:21,51.7852,-175.9331,58.3,5.2,mb,"49 km ESE of Adak, Alaska",reviewed,0,416,us,alto
us7000spd9,2026-05-29T16:05:58,50.0568,159.5123,10.0,5.2,mb,"250 km ESE of Severo-Kuril’sk, Russia",reviewed,0,416,us,alto
us7000spfj,2026-05-29T21:21:44,0.9071,-29.1814,10.0,5.2,mww,central Mid-Atlantic Ridge,reviewed,0,416,us,alto
us7000shsh,2026-05-02T10:27:06,-6.0254,130.8107,122.1,5.2,mb,"219 km WSW of Tual, Indonesia",reviewed,0,416,us,moderado
us7000si9t,2026-05-04T23:54:07,39.9553,143.0788,40.1,5.2,mww,"103 km ENE of Miyako, Japan",reviewed,0,416,us,alto
us6000svm3,2026-05-06T09:43:13,-5.7231,154.4237,103.6,5.2,mww,"134 km WNW of Panguna, Papua New Guinea",reviewed,0,416,us,moderado
us7000shnl,2026-05-02T02:06:37,-24.4445,178.839,546.2,5.1,mb,south of the Fiji Islands,reviewed,0,400,us,moderado
us7000shut,2026-05-02T21:19:12,-37.4519,178.2764,35.0,5.1,mww,"16 km N of Hicks Bay, New Zealand",reviewed,0,402,us,alto
us7000shy4,2026-05-03T10:00:34,42.1818,88.1975,10.0,5.1,mb,"117 km SW of Turpan, China",reviewed,0,400,us,alto
